plate,mjd,fiber,version,url
3819,55540,539,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/3819/spec-3819-55540-0539.fits
3407,54971,137,104,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/104/spectra/lite/3407/spec-3407-54971-0137.fits
2185,53532,378,103,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/103/spectra/lite/2185/spec-2185-53532-0378.fits
2900,54569,447,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/2900/spec-2900-54569-0447.fits
3234,54885,398,104,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/104/spectra/lite/3234/spec-3234-54885-0398.fits
1896,53242,322,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/1896/spec-1896-53242-0322.fits
6142,56219,230,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/6142/spec-6142-56219-0230.fits
3300,54914,41,104,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/104/spectra/lite/3300/spec-3300-54914-0041.fits
1091,52902,232,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/1091/spec-1091-52902-0232.fits
1474,52933,628,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/1474/spec-1474-52933-0628.fits
3863,55280,826,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/3863/spec-3863-55280-0826.fits
7730,58107,946,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7730/spec-7730-58107-0946.fits
2327,53710,273,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/2327/spec-2327-53710-0273.fits
1738,53051,373,26,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/26/spectra/lite/1738/spec-1738-53051-0373.fits
7450,56722,250,v5_13_2,https://dr18.sdss.org/sas/dr18/spectro/sdss/redux/v5_13_2/spectra/lite/7450/spec-7450-56722-0250.fits
